page,status,title_len,desc,canonical,robots,hreflang_n,schema_n,h1,imgTotal,imgMissingAlt,imgBroken,unlabeledFields,wordCount,overflowDesktop,overflowMobile,axeCritical,axeSerious,axeTotal,consoleErr,failedReq
home,200,61,Y,Y,-,7,6,1,3,0,0,0,993,0,332,0,1,2,0,0
tours,200,50,Y,Y,-,7,7,1,1,0,0,1,878,0,332,0,1,2,1,1
visit,200,55,Y,Y,-,7,7,1,2,1,0,0,600,0,332,0,1,1,0,0
about,200,50,Y,Y,-,7,7,1,2,1,0,0,521,0,332,0,1,1,0,0
adopt,200,44,Y,Y,-,7,8,1,16,1,0,0,1286,0,332,0,1,1,1,0
contact,200,54,Y,Y,-,7,5,1,2,1,0,0,346,0,332,0,1,1,0,0
shop,200,54,Y,Y,-,7,5,1,2,1,0,0,229,0,332,0,1,1,0,0
shop-woven,200,57,Y,Y,-,7,6,1,8,7,0,0,334,0,332,0,1,2,0,0
shop-commission,200,58,Y,Y,-,7,5,1,2,1,0,0,318,0,332,0,1,1,0,0
shop-alcaca,200,59,Y,Y,-,7,6,1,4,1,0,0,400,0,332,0,1,1,0,0
alpacas,200,50,Y,Y,index, follow,7,7,1,16,0,0,0,1434,0,332,0,1,1,0,0
experiences,200,62,Y,Y,-,7,5,1,2,1,0,0,521,0,332,0,1,1,0,0
exp-corporate,200,57,Y,Y,-,7,6,1,4,0,0,0,412,0,332,0,1,1,2,0
exp-romantic,200,59,Y,Y,-,7,4,1,3,1,0,0,305,0,332,0,1,1,0,0
exp-family,200,65,Y,Y,-,7,6,1,7,0,0,0,329,0,332,0,1,1,2,0
gifts,200,56,Y,Y,-,7,6,1,2,0,0,0,371,0,332,0,1,1,0,0
redeem-voucher,200,76,Y,Y,-,7,4,1,1,0,0,0,214,0,332,0,1,2,0,0
weaving,200,74,Y,Y,index, follow,7,5,1,5,1,0,0,395,0,332,0,1,1,0,0
skein,200,61,Y,Y,-,7,6,1,15,0,0,0,371,0,332,0,1,1,0,0
sustainability,200,59,Y,Y,index, follow,7,6,1,2,1,0,0,729,0,332,0,1,1,0,0
weddings,200,73,Y,Y,index, follow,7,8,1,2,1,0,0,518,0,332,0,1,1,0,0
workshops,200,53,Y,Y,index, follow,7,8,1,2,0,0,0,455,0,332,0,1,1,0,0
yoga,200,60,Y,Y,index, follow,7,8,1,2,1,0,0,518,0,332,0,1,1,0,0
privacy,200,14,Y,Y,-,7,4,2,1,0,0,0,1059,0,332,0,1,1,0,0
terms,200,28,Y,Y,-,7,4,1,1,0,0,0,227,0,332,0,1,1,0,0
cookies,200,13,Y,Y,-,7,4,2,1,0,0,0,812,0,332,0,1,1,0,0
impressum,200,28,Y,Y,index, follow,7,5,1,1,0,0,0,255,0,332,0,1,1,0,0
press,200,29,Y,Y,noindex, follow,7,6,1,2,1,0,0,278,0,332,0,1,1,0,0
sitemap,200,24,Y,Y,index, follow,7,5,1,1,0,0,0,244,0,332,0,1,1,1,0
journal,200,41,Y,Y,index, follow,7,6,1,2,1,0,0,242,0,332,0,1,1,1,0
herd-diary,200,61,Y,Y,-,7,5,1,2,1,0,0,206,0,332,0,1,2,0,0
newsletter-archive,200,34,Y,Y,index, follow,7,4,1,1,0,0,0,202,0,332,0,1,2,0,0
alpaca-detail,200,19,Y,Y,index, follow,7,7,1,8,0,0,0,767,0,332,0,1,1,2,0
my-adoption,200,44,Y,Y,-,7,8,1,16,1,0,0,1286,0,-1,0,1,1,1,0
preferences,200,76,Y,Y,-,7,4,1,1,0,0,0,206,0,332,0,1,2,0,0
home-nl,200,61,Y,Y,-,7,6,1,3,0,0,0,973,35,332,0,1,2,0,0
adopt-nl,200,44,Y,Y,-,7,8,1,16,1,0,0,1259,35,332,0,1,1,1,0
adopt-de,200,44,Y,Y,-,7,8,1,16,1,0,0,1281,0,332,0,1,1,1,0
notfound,200,76,Y,Y,noindex,7,4,1,1,0,0,0,244,0,332,0,1,1,0,0
